Isolate	location	region	origin	collection_date	BAPS	Source	baps_level2	City	Latitude	Longitude
ERR13696826	Netherlands	Europe	external	06/03/2020	1	Human	1	NA	NA	NA
ERR13710365	Netherlands	Europe	external	08/03/2022	1	Human	1	NA	NA	NA
ERR13818783	Netherlands	Europe	external	22/08/2023	2	Human	2	NA	NA	NA
ERR2118119	Australia	Oceania	external	30/06/2016	6	Human	6	NA	NA	NA
ERR3997477	Lebanon	Middle East	external	30/06/2017	6	Human	6	NA	NA	NA
ERR5751853	South Africa	Africa	external	07/01/2021	3	Human	3	NA	NA	NA
SE001	Saudi Arabia	Middle East	internal	22/08/2022	7	Human	7	Jeddah	21.5433	39.1728
SE016	Saudi Arabia	Middle East	internal	23/08/2022	4	Human	4	Najran	17.4924	44.1277
SE017	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Najran	17.4924	44.1277
SE018	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE019	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE020	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE021	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE022	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE023	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE024	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE025	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE026	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE027	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE028	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE029	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE030	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE032	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE033	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE034	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE035	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE036	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE037	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE038	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE039	Saudi Arabia	Middle East	internal	23/08/2022	6	Human	6	Shaurah	17.4667	47.1167
SE043	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE044	Saudi Arabia	Middle East	internal	23/08/2022	1	Human	1	Shaurah	17.4667	47.1167
SE047	Saudi Arabia	Middle East	internal	28/08/2022	1	Human	1	Aljouf	29.9697	40.2064
SE050	Saudi Arabia	Middle East	internal	05/08/2022	1	Human	1	Jeddah	21.5433	39.1728
SE055	Saudi Arabia	Middle East	internal	19/09/2022	1	Human	1	Jeddah	21.5433	39.1728
SE061	Saudi Arabia	Middle East	internal	12/08/2022	6	Human	6	Dammam	26.4344	50.1033
SE062	Saudi Arabia	Middle East	internal	12/08/2022	6	Human	6	Dammam	26.4344	50.1033
SE064	Saudi Arabia	Middle East	internal	14/08/2022	6	Human	6	Dammam	26.4344	50.1033
SE065	Saudi Arabia	Middle East	internal	22/08/2022	7	Human	7	Aljouf	29.9697	40.2064
SE066	Saudi Arabia	Middle East	internal	10/09/2022	4	Human	4	Riyadh	24.7136	46.6753
SE067	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE068	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE069	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE070	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE071	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE072	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE073	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE074	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE075	Saudi Arabia	Middle East	internal	30/10/2022	1	Human	1	Riyadh	24.7136	46.6753
SE079	Saudi Arabia	Middle East	internal	26/01/2023	1	Human	1	Muhayil Assir	18.5444	42.0393
SE080	Saudi Arabia	Middle East	internal	26/01/2023	1	Human	1	Muhayil Assir	18.5444	42.0393
