Sample_name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
ERR13696826	NA	1	523085	525139	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
ERR13696826	NA	1	552737	553639	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	301	302	99.67	99.67	301	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
ERR13696826	NA	2	77297	78301	-	sseK3	type III secretion system effector arginine glycosyltransferase SseK3	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	335	335	100.00	100.00	335	CBW18025.1	type III secretion system effector arginine glycosyltransferase SseK3	NA	NA
ERR13696826	NA	3	68752	69282	+	sodC1	superoxide dismutase [Cu-Zn] SodC1	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	177	177	100.00	100.00	177	AAL19978.1	superoxide dismutase [Cu-Zn] SodC1	NA	NA
ERR13696826	NA	3	71718	72401	+	gtgA	type III secretion system effector protease GtgA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	228	228	100.00	99.56	228	CBW17061.1	type III secretion system effector protease GtgA	NA	NA
ERR13696826	NA	4	73593	76757	-	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
ERR13696826	NA	4	76757	77980	-	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
ERR13696826	NA	4	78257	80542	+	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.61	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
ERR13696826	NA	4	80557	81018	+	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	EXACTX	154	154	100.00	100.00	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
ERR13696826	NA	5	178669	179364	+	lpfB	long polar fimbrial chaperone LpfB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	232	232	100.00	100.00	232	WXV87835.1	long polar fimbrial chaperone LpfB	NA	NA
ERR13696826	NA	6	97145	99076	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	644	730	88.22	99.84	644	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
ERR13696826	NA	6	378067	380700	+	gyrA_S83Y	Salmonella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	878	878	100.00	99.89	878	WP_001281271.1	DNA gyrase subunit A GyrA	NA	NA
ERR13696826	NA	7	3	2123	+	sspH2	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	707	788	89.72	99.58	707	QJV46475.1	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	NA	NA
ERR13696826	NA	17	18848	19495	-	spvD	SPI-2 type III secretion system effector cysteine hydrolase SpvD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	216	216	100.00	99.07	216	AAG59626.1	SPI-2 type III secretion system effector cysteine hydrolase SpvD	NA	NA
ERR13696826	NA	18	47331	48443	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
ERR13696826	NA	19	43428	44285	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
ERR13696826	NA	25	1633	2829	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	399	399	100.00	99.75	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
Sample_name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
ERR13710365	NA	1	442340	443023	-	gtgA	type III secretion system effector protease GtgA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	228	228	100.00	99.56	228	CBW17061.1	type III secretion system effector protease GtgA	NA	NA
ERR13710365	NA	1	445459	445989	-	sodC1	superoxide dismutase [Cu-Zn] SodC1	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	177	177	100.00	100.00	177	AAL19978.1	superoxide dismutase [Cu-Zn] SodC1	NA	NA
ERR13710365	NA	1	1226914	1227918	+	sseK3	type III secretion system effector arginine glycosyltransferase SseK3	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	335	335	100.00	100.00	335	CBW18025.1	type III secretion system effector arginine glycosyltransferase SseK3	NA	NA
ERR13710365	NA	1	1542675	1545038	-	sspH2	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	788	788	100.00	99.11	788	QJV46475.1	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	NA	NA
ERR13710365	NA	2	47331	48443	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
ERR13710365	NA	2	48527	52153	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	79.85	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
ERR13710365	NA	2	140727	141629	-	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	301	302	99.67	99.67	301	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
ERR13710365	NA	2	169227	171281	-	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
ERR13710365	NA	3	73590	76754	-	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
ERR13710365	NA	3	76754	77977	-	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
