Sample,SE016_3,SE055_2,SE055_3,SE061_2,SE119_2,SE242_2
ERR2118119,0.1824,0.0827,99.5857,56.9316,0.0654,39.4913
SRR14145261,17.2437,1.0747,99.6615,57.8883,7.8475,39.5361
SRR30514186,94.06,1.1584,98.3224,60.1515,1.9599,38.9982
SRR30514786,92.2611,1.0964,96.8891,59.5705,1.9109,38.437
SRR13426369,0,0,93.9938,53.2656,0,37.026
SRR14083860,94.8828,1.0644,99.1865,60.2362,1.8223,39.3163
SRR12417588,0,75.59,99.749,57.0299,62.9434,91.1622
SRR14477279,0,0,99.7507,57.0722,0,39.5608
SRR14477280,0,0,99.7406,57.0511,0,39.5508
SRR14477281,0,0,99.7507,57.0684,0,39.5594
SRR21991850,0,0,99.7406,57.0617,0,39.5601
SRR21991946,0,0,99.7372,57.0607,0,39.5588
SRR28763997,0,0,99.7086,57.052,0,39.5521
SRR28764000,0,0,99.7187,57.0501,0,39.5561
SRR28764052,0,0,99.7103,57.0433,0,39.5494
SRR28764056,14.6394,0.9714,99.7305,58.1465,2.0786,39.5488
SRR7062216,0,0,3.3046,1.8903,0,1.3155
SRR7062217,0,0.031,3.1395,1.7959,0.0258,1.2547
SRR10805198,0,0,94.8444,53.8582,0,37.5371
SRR11676204,0,0,73.8985,41.9296,0,29.0761
SRR23264845,0,76.2349,99.1444,56.6859,63.7192,92.7543
SRR23264846,0,0,99.3027,56.7851,0,39.3844
SRR23264847,0.0582,0,99.4593,56.8805,0,39.4619
ERR3997477,0,0,99.6834,56.921,0,39.5387
ERR13696826,94.4811,1.2018,99.7558,62.3009,1.9513,39.5728
ERR13710365,94.2133,0.959,98.6761,59.7189,1.8817,39.1145
ERR13818783,94.223,0.9703,99.4038,60.4578,1.8808,39.4272
SRR10418676,92.3698,0.9817,92.6514,55.8785,1.8748,36.7093
SRR21549197,0,0,90.7482,51.4168,0,35.9497
SRR21549198,0,0,81.8989,46.401,0,32.402
SRR21549199,92.2863,0.959,87.1674,52.0758,1.7647,34.562
SRR21549200,81.2233,0.7264,21.0166,13.5876,1.4207,8.3494
SRR21549201,85.9291,0.8133,62.9135,37.8918,1.7544,24.8664
SRR21549203,94.4423,1.0592,98.6172,60.2006,1.8851,39.1025
SRR21549204,94.4171,0.9714,96.564,58.2612,1.7733,38.276
SRR21549206,94.679,1.0871,98.9254,60.5744,1.886,39.2494
SE001,0,0,99.7255,57.0645,0.0697,39.5554
SE016,94.5451,1.2059,99.749,62.3626,2.1096,39.5641
SE017,94.5296,1.2008,99.7288,62.0591,1.9926,39.5561
SE018,94.5374,1.2142,99.7507,62.3809,1.9978,39.5635
SE019,94.4966,1.1915,99.7238,61.8414,1.9109,39.5441
SE020,94.5296,1.2059,99.7356,62.1497,2.0623,39.5461
SE021,94.5044,1.2132,99.717,61.7845,1.9642,39.5421
SE022,94.4578,1.0489,99.6615,60.5638,1.8825,39.516
SE023,94.5219,1.1253,99.7372,62.0996,2.0262,39.5628
SE024,94.5121,1.1977,99.7305,61.9502,1.9737,39.5534
SE025,94.5024,1.1801,99.7322,61.7306,1.9496,39.5574
SE026,94.5005,1.1419,99.6968,61.5234,1.9135,39.5361
SE027,94.485,1.1315,99.6278,61.4483,1.9496,39.512
