contig,n_replicons,replicon_filtered
SE001_2,2,IncFIB(S)+IncFII(S)
SE002_2,2,IncFIB(S)+IncFII(S)
SE006_2,2,IncFIB(S)+IncFII(S)
SE016_2,2,IncFIB(S)+IncFII(S)
SE016_3,1,IncX1TaxC
SE017_2,2,IncFIB(S)+IncFII(S)
SE017_3,1,IncX1TaxC
SE030_2,2,IncFIB(S)+IncFII(S)
SE030_3,1,IncX1TaxC
SE045_2,2,IncFIB(S)+IncFII(S)
SE047_3,2,IncFIB(S)+IncFII(S)
SE047_4,1,IncX1TaxC
SE055_2,1,IncI1
SE055_3,2,IncFIB(S)+IncFII(S)
SE055_4,1,IncX1TaxC
SE060_2,2,IncFIB(S)+IncFII(S)
SE061_2,3,IncX3+IncFIB(S)+IncFII(S)
SE063_2,2,IncFIB(S)+IncFII(S)
SE076_2,2,IncFIB(S)+IncFII(S)
SE079_2,2,IncFIB(S)+IncFII(S)
SE079_3,1,IncX1TaxC
SE079_4,2,IncQ1
SE084_2,2,IncFIB(S)+IncFII(S)
SE084_3,1,IncX1TaxC
SE084_5,2,IncQ1
SE089_2,2,IncFIB(S)+IncFII(S)
SE089_3,1,IncX1TaxC
SE095_2,2,IncFIB(S)+IncFII(S)
SE095_3,1,IncX1TaxC
SE097_3,2,IncFIB(S)+IncFII(S)
SE097_4,1,IncX1TaxC
SE101_2,2,IncFIB(S)+IncFII(S)
SE101_3,1,IncX1TaxC
SE105_2,1,IncI1
SE105_3,2,IncFIB(S)+IncFII(S)
SE105_4,1,IncX1TaxC
SE107_2,2,IncFIB(S)+IncFII(S)
SE107_3,1,IncX1TaxC
SE109_2,2,IncFIB(S)+IncFII(S)
SE119_2,1,IncI1
SE119_3,2,IncFIB(S)+IncFII(S)
SE125_2,1,IncX1TaxC
SE129_2,2,IncFIB(S)+IncFII(S)
SE130_2,2,IncFIB(S)+IncFII(S)
SE151_2,2,IncFIB(S)+IncFII(S)
SE153_2,2,IncFIB(S)+IncFII(S)
SE164_2,2,IncFIB(S)+IncFII(S)
SE164_3,1,IncX1TaxC
SE183_2,2,IncFIB(S)+IncFII(S)
SE191_2,2,IncFIB(S)+IncFII(S)
SE203_3,1,IncX1TaxC
SE205_2,2,IncFIB(S)+IncFII(S)
SE206_2,2,IncFIB(S)+IncFII(S)
SE210_2,2,IncFIB(S)+IncFII(S)
SE214_2,1,IncI1
SE214_3,1,IncX1TaxC
SE218_3,2,IncFIB(S)+IncFII(S)
SE226_2,1,IncI1
SE226_3,2,IncFIB(S)+IncFII(S)
SE227_2,2,IncFIB(S)+IncFII(S)
SE232_2,2,IncFIB(S)+IncFII(S)
SE242_2,3,IncFIB(S)+IncFII(S)+IncI1
SE242_3,1,IncX1TaxC
SE243_2,1,IncX1TaxC
