Sample	ST64B (AY055382.1)
ERR13696826	1
ERR13710365	1
ERR13818783	1
ERR2118119	1
ERR3997477	1
ERR5751853	1
SE001	1
SE016	1
SE017	1
SE018	1
SE019	1
SE020	1
SE021	1
SE022	1
SE023	1
SE024	1
SE025	1
SE026	1
SE027	1
SE028	1
SE029	1
SE030	1
SE032	1
SE033	1
SE034	1
SE035	1
SE036	1
SE037	1
SE038	1
SE039	1
SE043	1
SE044	1
SE047	1
SE050	1
SE055	1
SE061	1
SE062	1
SE064	1
SE065	1
SE066	1
SE067	1
SE068	1
SE069	1
SE070	1
SE071	1
SE072	1
SE073	1
SE074	1
SE075	1
SE079	1
SE080	1
SE081	1
SE082	1
SE083	1
SE084	1
SE085	1
SE086	1
SE087	1
SE088	1
SE089	1
SE090	1
SE091	1
SE092	1
SE093	1
SE094	1
SE095	1
SE096	1
SE097	1
SE098	1
SE099	1
SE100	1
SE101	1
SE102	1
SE103	1
SE104	1
SE105	1
SE106	1
SE107	1
SE110	1
SE111	1
SE113	1
SE114	1
SE116	1
SE119	1
SE120	1
SE121	1
SE122	1
SE123	1
SE124	1
SE125	1
SE126	1
SE127	1
SE128	1
SE129	1
SE131	1
SE132	1
SE133	1
SE134	1
SE135	1
SE136	1
SE137	1
SE138	1
SE139	1
SE140	1
SE141	1
SE142	1
SE143	1
SE144	1
SE145	1
SE146	1
SE147	1
SE148	1
SE149	1
SE150	1
SE151	1
SE152	1
SE153	1
SE154	1
SE155	1
SE156	1
SE157	1
SE158	1
SE159	1
SE160	1
SE161	1
SE162	1
SE163	1
SE164	1
SE165	1
SE166	1
SE167	1
SE168	1
SE169	1
SE170	1
SE171	1
SE172	1
SE173	1
SE174	1
SE175	1
SE176	1
SE177	1
SE178	1
SE179	1
SE180	1
SE181	1
SE182	1
SE183	1
SE184	1
SE185	1
SE186	1
SE187	1
SE188	1
SE189	1
SE190	1
SE191	1
SE192	1
SE193	1
SE194	1
SE195	1
SE196	1
SE197	1
SE198	1
SE199	1
SE201	1
SE202	1
SE203	1
SE204	1
SE208	1
SE209	1
SE211	1
SE212	1
SE213	1
SE214	1
SE216	1
SE220	1
SE221	1
SE222	1
SE223	1
SE224	1
SE226	1
SE228	1
SE230	1
SE231	1
SE233	1
SE234	1
SE235	1
SE237	1
SE238	1
SE239	1
SE240	1
SE241	1
SE242	1
SE243	1
SE244	1
SRR10066835	1
SRR10228815	1
SRR10247588	1
SRR10294377	1
SRR10298109	1
SRR10333963	1
SRR10413913	1
SRR10418676	1
SRR10431714	1
SRR10519564	1
SRR10519604	1
SRR10522040	1
SRR10524278	1
SRR10667016	1
SRR10763791	1
SRR10805198	1
SRR10810788	1
SRR10810791	1
SRR10810795	1
SRR10883335	1
SRR10914135	1
SRR10947732	1
SRR11033281	1
SRR11096934	1
SRR11215357	1
SRR11314419	1
SRR11362268	1
SRR11362287	1
SRR11516598	1
SRR11676204	1
SRR12417588	1
SRR12694552	1
SRR12743424	1
SRR12770175	1
SRR13426369	1
SRR13672975	1
SRR14083860	1
SRR14145261	1
SRR14477279	1
SRR14477280	1
SRR14477281	1
SRR15428700	1
SRR16168853	1
SRR16568786	1
SRR16976143	1
SRR16993400	1
SRR17130969	1
SRR17205340	1
SRR18071763	1
SRR18100380	1
SRR18163370	1
SRR18762096	1
SRR19019569	1
SRR19023451	1
SRR19136144	1
SRR19325510	1
SRR19349898	1
SRR1959458	1
SRR1959510	1
SRR1961769	1
SRR1963255	1
SRR1963283	1
SRR1966916	1
SRR1967329	1
SRR1968066	1
SRR1969338	1
SRR1970115	1
SRR20281809	1
SRR20715499	1
SRR21130293	1
SRR21549197	1
SRR21549198	1
SRR21549199	1
SRR21549200	1
SRR21549201	1
SRR21549203	1
SRR21549204	1
SRR21549206	1
SRR21991850	1
SRR21991946	1
SRR22085378	1
SRR22434319	1
SRR22434451	1
SRR23073800	1
SRR23195272	1
SRR23264845	1
SRR23264846	1
SRR23264847	1
SRR23479310	1
SRR23602597	1
SRR23724988	1
SRR23932213	1
SRR25872774	1
SRR26804881	1
SRR27873616	1
SRR28200806	1
SRR28200933	1
SRR28277025	1
SRR28281987	1
SRR28402537	1
SRR28414968	1
SRR28582564	1
SRR28701891	1
SRR28726834	1
SRR28763997	1
SRR28764000	1
SRR28764052	1
SRR28764056	1
SRR29077946	1
SRR29080434	1
SRR29080486	1
SRR29184389	1
SRR29188942	1
SRR29334257	1
SRR29334263	1
SRR29334335	1
SRR29339894	1
SRR29339915	1
SRR29482056	1
SRR29499509	1
SRR29503918	1
SRR29503960	1
SRR29504084	1
SRR29881189	1
SRR30181462	1
SRR30347754	1
SRR30514186	1
